Mg,Al,Ti,V,Mn,Fe,Co,Zn,Y,Zr,Nb,La,Nd,Ce,Ta,W,Pb
0,0,0,0,0,219.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1129.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,155.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,126.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,69.7,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,355.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,890.3,207.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,130.2,0,0,0,0,0,0,0,0,0,0,0
0,349.2,0,0,0,220.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,595.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,127.5,0,0,0,0,0,0,0,0,0,0,0
0,636,224.6,0,0,2182.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,658.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,442.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,536.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,134.5,0,0,0,0,0,0,0,0,0,0,0
0,1695.1,0,0,0,870.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,983.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1199.2,0,0,0,0,0,0,0,0,0,0,0
0,379.4,0,0,0,150.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,210.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,315.6,167.7,0,0,0,0,0,0,0,0,0,0,0
0,340.5,0,0,0,192.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,451.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,195.7,0,0,0,0,0,0,0,0,0,0,0
