Mg,Al,Ti,V,Mn,Fe,Co,Zn,Y,Zr,Nb,La,Nd,Ce,Ta,W,Pb
5041.2,79229.7,515.6,0,355.7,27653.1,0,3389.5,0,0,0,0,0,0,0,0,0
0,2627.2,0,0,23411.4,13394.6,141.2,2778.5,0,0,0,0,0,35.9,0,0,31.5
0,6873.9,874.8,0,447.8,14723.3,0,2614.6,0,0,0,0,0,0,0,0,0
0,0,0,0,1091.8,58782.4,0,2255.3,0,0,0,0,0,26.2,0,0,48.1
10806.4,11123.9,0,0,397,53298.6,0,2182.8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1706.3,0,0,0,0,0,0,0,0,0
2147.3,18810.7,723.6,0,281.5,31909.3,0,1617.2,0,0,0,0,0,44.6,0,0,0
11275.7,68510.6,2396,195.9,210.8,77510,0,1537.3,0,0,0,0,0,32.9,0,0,320.3
0,1090.8,625.1,225.1,1242.4,101913.8,52.3,1497.3,0,0,0,0,0,0,0,0,195.6
5135.5,18894.3,1173.6,0,126.9,58203.3,0,1495.8,0,0,0,0,0,0,0,0,59.1
9328.3,4775.7,2031.2,211.2,882.7,70027.9,0,1483.8,0,0,0,0,0,37.8,0,0,153.2
0,171477.7,0,0,9397.9,7187.6,0,1451.9,0,0,0,0,0,0,0,0,0
5416.7,34756.5,708.8,0,591.2,65711.1,0,1377.7,0,0,0,0,0,107,0,0,168.7
11478.1,11659.2,1272.8,107.6,3895.1,43675.7,0,1349.3,0,0,0,0,0,0,0,0,258.9
0,9073.5,0,0,0,7389.3,0,1312.2,0,0,0,0,0,0,0,0,0
0,0,0,0,5786.8,79073.3,0,1290.9,0,0,0,0,0,19.6,0,0,223.3
29659.4,0,0,0,982.8,50368.9,0,1172.2,0,0,0,0,0,29.5,0,0,0
6231.8,92258.6,3258.9,548.5,1337.2,51740.3,0,1168.2,0,0,0,0,0,24.8,0,0,274.5
0,11716.1,0,0,0,10515,0,1166,0,0,0,0,0,12.1,0,0,0
0,3888,0,0,63367.4,12634.1,754.5,1140.8,0,0,0,0,0,125.6,0,0,0
8061.3,34092.4,204.8,0,0,30720.4,0,1106.4,0,0,0,0,0,31.3,0,0,0
0,9634.9,0,0,1524.5,79528.6,0,1101.6,0,0,0,32.2,0,76.8,0,0,184.4
0,17341.7,0,0,3034.1,51763.6,0,1070.7,0,0,0,30.9,0,75.6,0,0,313.5
0,9762,0,0,1436.7,40573.7,0,1043,0,0,0,0,0,21.5,0,0,120.8
0,4411.8,0,0,4581.1,22710.2,0,1025.8,0,0,0,21.2,0,38.5,0,0,74.3
0,3937.8,220.8,0,9555.6,6536.6,0,1018.8,0,0,0,14.8,0,51.8,0,0,31.7
0,1642.8,270.2,0,2032.4,19736.5,0,1012.4,0,0,0,0,0,0,0,0,903.9
0,0,740,291.6,156.8,70762.3,0,1002.7,0,0,0,0,0,22.3,0,0,157.1
0,5343.5,0,0,188,73993,0,997.2,0,0,0,16.8,0,173.2,0,0,58.7
0,9929.8,2775.7,149.9,485.6,83025.1,0,981.9,0,0,0,0,0,0,0,0,85
10108.7,2701.1,1394.2,277.7,171.3,70825.6,0,894.2,0,0,0,0,0,15.7,0,0,43
0,3909.7,0,0,1795,52317.3,0,878.7,0,0,0,21.5,0,63.6,0,0,168.7
8014,42231,3314.3,0,13814.3,36030.4,0,877.5,0,0,0,0,0,36.7,0,0,801.5
0,0,0,0,0,301.8,0,868.9,0,0,0,0,0,0,0,0,0
0,2393,483.2,0,0,4844.8,0,860.6,0,0,0,0,0,0,0,0,0
0,5306.4,761.1,0,1127.7,34081.5,0,849.2,0,0,0,0,0,0,0,0,44.2
0,39012.6,0,0,0,12139,0,848.4,0,0,0,0,0,0,0,0,0
6544.7,7180.2,1161.1,0,183.4,13163.6,0,842.4,0,0,0,0,0,18,0,0,0
0,0,834.4,0,137.8,4855.7,0,795.5,0,0,0,0,0,0,0,0,6731.3
0,5603.3,0,0,0,13605.5,0,790.8,0,0,0,0,0,35.6,0,0,0
0,12153.2,0,0,579.1,37586.1,0,790.3,0,0,0,0,0,0,0,0,35.4
0,0,0,0,0,0,0,768.2,0,0,0,0,0,0,0,0,0
0,14954.4,312,0,12927.9,20795.5,0,759.3,0,0,0,0,0,83.5,0,0,146.6
0,0,225.4,0,144.5,42936,0,748.5,0,0,0,0,0,0,0,0,109
0,0,0,0,0,321.8,0,723.2,0,0,0,0,0,0,0,0,0
0,0,0,85.6,335.2,75412.8,0,709.6,0,0,0,0,0,43.9,0,0,54.2
0,0,0,0,43129.8,7224.8,344.2,706.4,0,0,0,0,0,99.4,0,0,0
7207,8801,0,0,283.8,22637.7,0,704.3,0,0,0,15.1,0,69.1,0,0,0
0,0,0,0,0,0,0,696.8,0,0,0,0,0,0,0,0,0
0,431.6,0,0,0,15461.9,0,671.1,0,0,0,26,0,0,0,0,22345.6
17509.3,63240.1,1541.5,107.4,0,43937.7,0,660,0,0,0,0,0,39.3,0,0,26
0,2868.1,0,0,1846.8,22469.8,0,651.3,0,0,0,0,0,39.6,0,0,60.3
0,2397.7,0,0,1386.1,37620.7,0,649,0,0,0,0,0,0,0,0,2916.8
24444.7,8212.7,4324.2,0,0,70360.8,0,645.4,0,0,39,0,0,0,0,0,0
0,36216.9,328.6,0,2010,15503.7,0,641.8,0,0,0,0,0,14.8,0,0,43.9
20233.1,47540.7,6526.2,156.6,319.1,63548.5,0,638.4,0,0,27.4,0,0,0,0,0,0
0,1880.1,0,0,26086.1,4986.4,131.5,636.8,0,0,0,0,0,40.6,0,0,36.7
0,831.5,0,0,3249.6,23305.2,0,632.8,0,0,0,0,0,34.4,0,0,196.7
0,0,0,0,0,0,0,627.4,0,0,0,0,0,0,0,0,0
0,7569.7,0,0,105.3,7217.7,0,615.3,0,0,0,0,0,0,0,0,0
0,2166.7,0,0,66151.4,8777.9,569.9,610,0,0,0,0,0,65.8,0,0,34.9
0,4207.9,1169.6,0,219.6,18430.5,0,598.1,0,0,0,0,0,0,0,0,0
0,4141.2,0,0,38777.5,5613.9,292.2,593.9,0,0,0,0,0,64.2,0,0,38
2508.1,4065.9,813.9,0,237.5,14049.4,0,582.6,0,0,0,0,0,0,0,0,0
0,4949.6,369.7,0,478.9,40238.6,0,577.6,0,0,0,0,0,34.5,0,0,56.4
0,3724.2,0,0,46462.6,8634.7,344.6,568.4,0,0,0,0,0,51.8,0,0,0
0,0,0,0,0,185.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,125.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,390.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,109.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,211.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,112.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,146.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,706.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7841.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6518.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,229.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,836.7,0,0,0,0,0,0,0,0,0,0,0
0,1467.3,0,0,0,874.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,192.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,262.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,118.3,0,0,0,0,0,0,0,0,0,0,0
0,4338.9,0,0,0,2236.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,114.4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,148.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,272.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,376.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,98.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,227.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,140.8,0,0,0,0,0,0,0,0,0,0,0
0,499.6,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,539.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,833.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,691.3,145.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,143.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,117.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,253.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,276.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,111.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,103.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,105.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,161.5,0,0,0,0,0,0,0,0,0,0,0
0,415.8,0,0,0,132.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,339.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,223.3,2494.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,135.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,127.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,366.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,220.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,146.1,0,0,0,0,0,0,0,0,0,0,0
0,637.9,0,0,0,3068.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,118.9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,599.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,326.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,123.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,200.6,273.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,107.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,347.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,269.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,640.7,0,0,0,0,0,0,0,0,0,0,0
0,2113.6,0,0,0,636.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,473.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,120.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,836.8,422.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,816.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,106.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,313.4,0,0,0,0,0,0,0,0,0,0,0
0,617.6,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,419.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,119.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,489.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,673.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4502.7,0,0,0,0,0,0,0,0,0,0,0
0,2153.7,1343.3,0,219.7,22700.4,0,0,0,0,0,0,0,51.3,0,0,81.9
0,0,0,0,0,147.7,0,0,0,0,0,0,0,19.6,0,0,0
0,0,0,0,0,113.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,146.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,121.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,105.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,791.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2262.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,102.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,133.1,0,0,0,0,0,0,0,0,0,0,0
0,598.6,0,0,0,1625.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,185.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,154.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,119.9,0,0,0,0,0,0,0,50.1,0,0,0
0,0,0,0,0,335.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,86.6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,609.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,437.6,0,0,0,0,0,0,0,0,0,0,0
3005.3,4373,921.4,0,0,9934.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,197.1,822.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,264.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,116.1,0,0,0,0,0,0,0,0,0,0,0
0,768.4,0,0,2103.5,10320.8,0,0,0,0,0,0,0,0,0,0,0
