Mg,Al,Ti,V,Mn,Fe,Co,Zn,Y,Zr,Nb,La,Nd,Ce,Ta,W,Pb
0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0
0,1016,0,0,0,2667.7,0,0,0,0,0,0,0,0,0,0,0
0,0,1135.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,232.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,148.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,146.8,0,0,0,0,0,0,0,0,0,0,0
0,0,243.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,460,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,174.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,339.5,0,0,0,0,0,0,0,0,0,0,0
0,0,206.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,155.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,328.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,846.5,0,0,0,0,0,0,0,0,0,0,0
0,401.2,0,0,0,2211.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,167.1,0,0,0,0,0,0,0,0,0,0,0
0,0,616.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1237.8,0,0,0,0,0,0,0,0,0
0,0,190.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,171.3,0,0,0,0,0,0,0,0,0,0,0
0,0,274.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,528.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,167.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,522.1,0,0,0,0,0,0,0,0,0,0,0
0,0,1880.5,0,0,0,0,1278,0,0,0,0,0,0,0,0,0
0,0,1320.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0
0,0,168.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,413.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,140.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,228.2,0,0,0,0,0,0,0,0,0,0,0
0,0,1256.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,382.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,961.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0
