Mg,Al,Ti,V,Mn,Fe,Co,Zn,Y,Zr,Nb,La,Nd,Ce,Ta,W,Pb
0,0,0,0,0,3016.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1707.4,278.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1616.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,110,211.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,267.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,199.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,161.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,109.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,89.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,102.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,153.5,0,0,0,0,0,0,0,0,0,0,0
0,9490.6,0,0,277.5,28822.5,0,0,0,0,0,0,0,35.2,0,0,56
0,0,0,0,0,363.4,0,0,0,0,0,0,0,0,0,0,0
0,1337.9,0,0,0,1197.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,88.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,161.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8035.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,183.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,110.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,181.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,708,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,250.3,3905.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,200.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,366.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,183.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,96.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,212.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,494.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,208.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3283.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,551.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0
0,393.2,0,0,0,1159.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,199.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,263.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,127.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,117.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,129.2,0,0,0,0,0,0,0,0,0,0,0
