Mg,Al,Ti,V,Mn,Fe,Co,Zn,Y,Zr,Nb,La,Nd,Ce,Ta,W,Pb
0,0,0,0,0,140.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,199.4,0,0,0,0,0,0,0,0,0,0,0
0,533.6,0,0,0,1360.2,0,0,0,0,0,24,0,0,0,0,0
0,366.3,0,0,0,871.8,0,0,0,0,0,0,0,0,0,0,0
0,499.7,0,0,0,5235.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,147.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,231.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,112.7,0,0,0,0,0,0,0,0,0,0,0
0,1617.9,238.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,159.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,167.2,0,0,0,0,0,0,0,0,0,0,0
0,1159.9,331.6,0,0,18794.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,409.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,538.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,211.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,441.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,592.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,264.1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1586.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,570.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,130.7,0,0,0,0,0,0,0,0,0,0,0
0,306.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,127.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,104.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,787.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,615.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,526.3,0,0,0,0,0,0,0,0,0,0,0
0,816.2,0,0,0,437.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,315.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,480.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,311.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,259.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,201.7,0,0,0,0,0,0,0,0,0,0,0
0,809.9,0,0,0,2058.8,0,0,0,0,0,0,0,0,0,0,0
0,2721.8,0,0,0,1812.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,153.3,0,0,0,0,0,0,0,0,0,0,0
