Mg,Al,Ti,V,Mn,Fe,Co,Zn,Y,Zr,Nb,La,Nd,Ce,Ta,W,Pb
0,683.5,0,0,0,359.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,405.3,150.9,0,0,0,0,0,0,0,0,0,0,0
0,3001.4,0,0,0,1786.9,0,0,0,0,0,0,0,0,0,0,0
0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,883.1,0,0,0,5081.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,457.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,461.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,604.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,214.6,0,0,0,0,0,0,0,0,0,0,0
0,650.5,0,0,97.1,2491.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,180.6,0,0,0,0,0,0,0,0,0,0,0
0,263.6,0,0,0,801.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,221.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,235.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,578.2,0,0,0,0,0,0,0,0,0,0,0
0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,105.2,0,0,0,0,0,0,0,0,0,0,0,0
0,279.3,0,0,0,401.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,105.6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,217.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,12417.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,88.9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,153.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,168.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,237.3,0,0,0,0,0,0,0,0,0,0,0
0,1339.5,0,0,0,776.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,541.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,114.1,0,0,0,0,0,0,0,0,0,0,0
0,557.6,0,0,0,143.1,0,0,0,0,0,0,0,0,0,0,0
0,971.1,0,0,0,766.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,104.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,130.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0
0,253.5,0,0,2158.6,2373.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2253.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0
0,1043.4,0,0,0,4076,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1070.7,0,0,0,0,0,0,0,0,0,0,0
0,427.7,0,0,0,1812.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100.3,0,0,0,0,0,0,0,0,0,0,0
0,337.1,0,0,0,398.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,189.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,247.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,264.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0
0,625.8,0,0,0,883.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,351.9,1780.8,0,0,0,0,0,0,0,0,0,0,0
0,3127.8,0,0,0,3911.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,208.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,108.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,590.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,600.3,0,0,0,0,0,0,0,0,0,0,0
0,506.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,244.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,114.2,0,0,0,0,0,0,0,0,0,0,0
0,474.2,0,0,0,961.3,0,0,0,0,0,0,0,0,0,0,0
0,448.4,0,0,0,218.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,113.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,139.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2610.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,925.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2106.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,126.1,0,0,0,0,0,0,0,0,0,0,0
0,1275.4,0,0,0,642.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,102.5,0,0,0,0,0,0,0,0,0,0,0
